posX,posY,time,height,width,timestamp
442,257,1514.010009765625,41.72607421875,41.72607421875,67942.0
426,269,1531.010009765625,41.72607421875,41.72607421875,67959.0
413,281,1545.010009765625,41.72607421875,41.72607421875,67975.0
397,298,1564.010009765625,41.72607421875,41.72607421875,67992.0
381,322,1581.010009765625,41.72607421875,41.72607421875,68009.0
368,346,1597.010009765625,41.72607421875,41.72607421875,68025.0
361,364,1614.010009765625,41.72607421875,41.72607421875,68042.0
358,381,1630.010009765625,41.72607421875,41.72607421875,68059.0
356,398,1647.010009765625,41.72607421875,41.72607421875,68075.0
355,420,1664.010009765625,41.72607421875,41.72607421875,68092.0
355,440,1681.010009765625,41.72607421875,41.72607421875,68109.0
359,458,1695.010009765625,41.72607421875,41.72607421875,68125.0
369,478,1714.010009765625,41.72607421875,41.72607421875,68142.0
